A/Toulon/2291/2016	EPI1321697	EPI1321817	EPI1321937	EPI1322057	EPI1322177	EPI1322297		EPI1322177
A/Stockholm/34/2016	EPI836455	EPI836454	EPI836452	EPI836459	EPI836453	EPI836458		EPI836453
350477								
A/Catalonia/NSVH100483235/2016				EPI858796		EPI858797		
A/Dakar/17/2016				EPI1001854		EPI1001855		
A/Portugal/SU11/2016				EPI991687		EPI991688		
362448								
A/Brazil/809/2016	EPI896679	EPI896681	EPI896678	EPI896684	EPI896674	EPI896682		EPI896674
A/Portugal/MS67/2016				EPI913805		EPI913806		
A/Catalonia/NSVH100520143/2016				EPI864101		EPI864100		
19642510								
A/Catalonia/NSVH100540847/2017				EPI909662		EPI909661		
A/Catalonia/NSVH100551827/2017				EPI909676		EPI909675		
A/Catalonia/NSVH100533958/2017				EPI873690		EPI881969		
350800								
350801								
350590								
A/Basel/USB0030216/2017						EPI1570459		
352889								
352430								
351356								
351804								
351157								
351158								
350847								
350909								
351861								
A/StPetersburg/RII99S/2016	EPI886003	EPI886004	EPI886002	EPI886006	EPI885999	EPI886005		EPI885999
A/Cameroon/8230/2016				EPI991532		EPI991533		
A/Cameroon/8767/2016				EPI991535		EPI991537		
A/SaudiArabia/193221/2016				EPI867254		EPI867255		
A/Aniva/RII904S/2016	EPI886496	EPI886497	EPI886495	EPI886499	EPI886492	EPI886498		EPI886492
A/Cameroon/9024/2016				EPI991538		EPI991539		
A/Smolensk/CRIE-41/2016				EPI959445		EPI959446		
A/Moscow/CRIE-80/2016				EPI960188		EPI960189		
A/Algeria/62/2016				EPI978916		EPI978917		
353502								
351133								
19669530								
352659								
A/Perth/105/2016				EPI919441		EPI919439		
A/BasseNormandie/3553/2016				EPI898262		EPI898263		
A/Cameroon/9964/2016				EPI991541		EPI991542		
A/South-Africa/R05604/2017				EPI1060698		EPI1060697		
A/SouthAfrica/R05624/2017				EPI1060934		EPI1060935		
A/Cameroon/7086/2016				EPI978625		EPI978626		
A/Bulgaria/414/2017				EPI1043024		EPI1043025		
A/Cameroon/16v-9257/2016				EPI1332404		EPI1332405		
A/Cameroon/16v-9232/2016				EPI1333780		EPI1333781		
A/Cameroon/16v-9267/2016				EPI1332383		EPI1332384		
A/Cameroon/7289/2016				EPI991528		EPI991530		
A/Cameroon/7282/2016				EPI978627		EPI978628		
A/Cameroon/6939/2016				EPI991526		EPI991527		
A/Niedersachsen/117/2017				EPI975682		EPI978817		
A/Niger/3998/2016				EPI859035		EPI859036		
362931								
353422								
351803								
A/Paris/1047/2017	EPI957777	EPI957778	EPI957776	EPI957780	EPI957773	EPI957779		EPI957773
A/Tunisia/1934/2017				EPI991748		EPI991750		
A/Maldives/52/2017	EPI993927	EPI993928	EPI993926	EPI993930	EPI993923	EPI993929		EPI993923
A/Qatar/16-VI-17-0001463/2017				EPI960124		EPI960125		
